,Title,Earliest Semester Takeable,Prereqs,Coreqs,Exclusions,Notes,Semesters Available,Raw Prereqs
MAT332H1,Introduction to Graph Theory,"(2, 'Fall')!!",,,,,Fall!!,MAT224H1/MATB24H3/MAT224H5/MAT247H1/MAT247H5
MAT334H1,Complex Variables,"(3, 'Fall')!!",,,MAT354H1,,"Fall!!,Winter!!","MAT223H1/MATA23H3/MAT223H5/MAT240H1/MAT240H5, MAT235Y1/MAT235Y5/(MAT232H5, MAT236H5)/(MATB41H3, MATB42H3)/MAT237Y1/(MATB41H3, MATB42H3, MATB43H3)/MAT237Y5/MAT257Y1"
MAT335H1,"Chaos, Fractals and Dynamics","(2, 'Winter')",,,,,Winter,"MAT137Y1/ (MATA30H3, MATA31H3, MATA37H3)/ MAT137Y5/ (MAT137H5, MAT139H5)/ MAT157Y1/ MAT157Y5/ (MAT157H5, MAT159H5)/ MAT235Y1/ MAT235Y5/ (MAT232H5, MAT236H5)/ (MATB41H3, MATB42H3)/ MAT237Y1/ (MATB41H3, MATB42H3, MATB43H3)/ MAT237Y5, MAT223H1/ MATA23H3/ MAT223H5/ MAT240H1/ MAT240H5"
MAT336H1,Elements of Analysis,"(2, 'Winter')!!",((MAT185H1(unaccounted);(MAT195H1/ESC195H1(unaccounted)))),,"MAT257Y1,MAT337H1",,Winter!!,"MAT223H1/ MATA23H3/ MAT223H5/ MAT240H1/ MAT240H5, MAT235Y1/ MAT235Y5/ (MAT232H5, MAT236H5)/ (MATB41H3, MATB42H3)/ MAT237Y1/ (MATB41H3, MATB42H3, MATB43H3)/ MAT237Y5/ (MAT185H1, MAT195H1/ ESC195H1)"
MAT337H1,Introduction to Real Analysis,"(3, 'Fall')",,,MAT357H1,,"Fall,Winter!!","MAT257Y1/ [MAT224H1/ MATA24H3/ MAT224H5/ MAT247H1/ MAT247H5, MAT235Y1/ MAT235Y5/ (MAT232H5, MAT236H5)/ (MATB41H3, MATB42H3/ MATB43H3)/ MAT237Y1/ MAT237Y5, MAT246H1/ MAT157Y1]"
MAT344H1,Introduction to Combinatorics,"(1, 'Winter')!!",,,,,"Fall!!,Winter!!",MAT223H1/MATA23H3/MAT223H5/MAT240H1/MAT240H5
MAT347Y1,"Groups, Rings and Fields","(2, 'Fall-Winter')",,,,,Fall-Winter,MAT257Y1/(85% in MAT247H1/MAT247H5)
MAT351Y1,Partial Differential Equations,"(3, 'Fall-Winter')!!",MAT267H1,,APM351Y1,,Fall-Winter!!,"MAT257Y1/ MAT237Y1 (85%), MAT267H1"
MAT354H1,Complex Analysis I,"(3, 'Fall')!!",,,,,Fall!!,MAT257Y1
MAT357H1,Foundations of Real Analysis,"(3, 'Winter')",,,,,Winter,MAT257Y1
MAT363H1,Geometry of Curves and Surfaces,"(2, 'Winter')!!",,,,Note: ,Winter!!,"MAT224H1/ MATB24H3/ MAT224H5/ MAT247H1/ MAT247H5, MAT237Y1/ (MATB41H3, MATB42H3, MATB43H3)/ MAT237Y5/ MAT257Y1 (MAT257Y1 can be taken concurrently). For FASE students, MAT185H1, MAT194H1, MAT195H1, AER210H1."
MAT367H1,Differential Geometry,"(3, 'Winter')!!",,,,,Winter!!,"MAT257Y1/ [MAT224H1/ MAT247H1, MAT237Y1, MAT246H1/ MAT157Y1/ MAT157Y5/ (MAT157H5, MAT159H5)]"
MAT370H1,Introduction to Mathematical Probability,"(3, 'Fall')",MAT224H1;MAT246H1,,MAT377H1,,Fall,"MAT224H1/ MAT224H5, MAT235Y1/ (MAT232H5, MAT236H5)/ MAT237Y1/ MAT257Y1, MAT246H1"
MAT377H1,Mathematical Probability Theory,"(3, 'Fall')!!",,,"MAT370H1,STA347H1",,Fall!!,"MAT247H1/MAT247H5, MAT257Y1"
MAT390H1,History of Mathematics up to 1700,"(2, 'Fall')!!",,,"HPS309H1,HPS310Y1,HPS390H1","Prereq: ('', '', '', '', '-')",Fall!!,1.0 APM/MAT credit at the 200-level
MAT391H1,History of Mathematics after 1700,"(1, 'Winter')!!",,,"HPS309H1,HPS310H1,HPS391H1","Prereq: ('', '', '', '', ' ')",Winter!!,1.0 APM/MAT credit at the 200 level
MAT395H1,Independent Reading in Mathematics,"(1, 'Winter')",,,,Note: Need undergrad chair permission,"Fall,Winter",Minimum GPA of 3.5 in APM and MAT courses. Permission of the Associate Chair for Undergraduate Studies and of the prospective supervisor
MAT396H1,Independent Reading in Mathematics,"(1, 'Winter')",,,,Note: Need undergrad chair permission,"Fall,Winter,Fall-Winter",Minimum GPA of 3.5 in APM and MAT courses. Permission of the Associate Chair for Undergraduate Studies and of the prospective supervisor.
MAT397Y1,Research Project in Mathematics,"(2, 'Fall-Winter')",,,,Note: Need undergrad chair permission,Fall-Winter,Minimum GPA of 3.5 in APM and MAT courses. Permission of the Associate Chair for Undergraduate Studies and of the prospective supervisor.
MAT401H1,Polynomial Equations and Fields,"(2, 'Winter')",MAT301H1,,MAT347Y1,,Winter,MAT301H1
MAT402H1,Classical Geometries,"(3, 'Fall')",(MAT301H1/MAT347Y1),,,,Fall,"MAT301H1/MAT347Y1, MAT235Y1/MAT237Y1/MAT257Y1"
MAT403H1,Classical Geometries II,"(3, 'Winter')",(MAT301H1/MAT347Y1),,,,Winter,"MAT235Y1/ MAT237Y1/ MAT257Y1, MAT301H1/ MAT347Y1"
MAT409H1,Set Theory,"(4, 'Fall')",MAT357H1,,,,Fall,MAT357H1
MAT415H1,Algebraic Number Theory,"(3, 'Winter')",MAT347Y1,,,,Winter,MAT347Y1
MAT425H1,Differential Topology,"(3, 'Winter')",MAT327H1,,,,Winter,"MAT257Y1, MAT327H1"
MAT436H1,Introduction to Linear Operators,"(3, 'Fall')!!",,,,"Uncleanable string: ""5.0 MAT credits, including MAT224H1/MAT247H1 and MAT237Y1/MAT257Y1""",Fall!!,"5.0 MAT credits, including MAT224H1/MAT247H1 and MAT237Y1/MAT257Y1"
